,Date_time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
20160,2010-10-15 00:00:00,0.492,0.188,244.58,2.2,0.0,0.0,0.0
20161,2010-10-15 00:01:00,0.49,0.19,244.9,2.2,0.0,0.0,1.0
20162,2010-10-15 00:02:00,0.458,0.146,243.7,2.0,0.0,0.0,1.0
20163,2010-10-15 00:03:00,0.412,0.078,243.29,1.8,0.0,0.0,0.0
20164,2010-10-15 00:04:00,0.41,0.078,243.0,1.8,0.0,0.0,1.0
20165,2010-10-15 00:05:00,0.39,0.048,243.43,1.6,0.0,0.0,1.0
20166,2010-10-15 00:06:00,0.316,0.056,243.93,1.4,0.0,0.0,0.0
20167,2010-10-15 00:07:00,0.316,0.056,243.55,1.4,0.0,0.0,1.0
20168,2010-10-15 00:08:00,0.314,0.058,243.28,1.4,0.0,0.0,1.0
20169,2010-10-15 00:09:00,0.314,0.056,243.62,1.4,0.0,0.0,0.0
20170,2010-10-15 00:10:00,0.316,0.054,244.44,1.4,0.0,0.0,1.0
20171,2010-10-15 00:11:00,0.314,0.056,243.99,1.4,0.0,0.0,0.0
20172,2010-10-15 00:12:00,0.314,0.056,244.11,1.4,0.0,0.0,1.0
20173,2010-10-15 00:13:00,0.314,0.056,244.23,1.4,0.0,0.0,1.0
20174,2010-10-15 00:14:00,0.312,0.056,243.96,1.4,0.0,0.0,0.0
20175,2010-10-15 00:15:00,0.312,0.056,244.2,1.4,0.0,0.0,1.0
20176,2010-10-15 00:16:00,0.312,0.054,244.8,1.4,0.0,0.0,1.0
20177,2010-10-15 00:17:00,0.314,0.056,244.49,1.4,0.0,0.0,0.0
20178,2010-10-15 00:18:00,0.312,0.056,244.33,1.4,0.0,0.0,1.0
20179,2010-10-15 00:19:00,0.312,0.056,244.3,1.4,0.0,0.0,1.0
20180,2010-10-15 00:20:00,0.312,0.056,244.39,1.4,0.0,0.0,0.0
20181,2010-10-15 00:21:00,0.312,0.054,244.71,1.4,0.0,0.0,1.0
20182,2010-10-15 00:22:00,0.31,0.056,244.31,1.4,0.0,0.0,1.0
20183,2010-10-15 00:23:00,0.31,0.058,243.67,1.4,0.0,0.0,0.0
20184,2010-10-15 00:24:00,0.394,0.0,242.95,1.8,0.0,0.0,1.0
20185,2010-10-15 00:25:00,0.416,0.076,243.34,1.8,0.0,0.0,1.0
20186,2010-10-15 00:26:00,0.414,0.078,243.91,1.8,0.0,0.0,0.0
20187,2010-10-15 00:27:00,0.408,0.074,242.62,1.8,0.0,0.0,1.0
