,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Date_time
1993356,0.396,0.0,243.54,1.6,0.0,0.0,0.0,2010-10-01 00:00:00
1993357,0.396,0.0,242.8,1.6,0.0,0.0,1.0,2010-10-01 00:01:00
1993358,0.398,0.0,242.65,1.6,0.0,0.0,1.0,2010-10-01 00:02:00
1993359,0.396,0.0,242.24,1.6,0.0,0.0,0.0,2010-10-01 00:03:00
1993360,0.394,0.0,242.15,1.6,0.0,0.0,1.0,2010-10-01 00:04:00
1993361,0.392,0.0,242.16,1.6,0.0,0.0,1.0,2010-10-01 00:05:00
1993362,0.47,0.118,242.45,2.0,0.0,0.0,0.0,2010-10-01 00:06:00
1993363,0.478,0.136,242.58,2.0,0.0,0.0,1.0,2010-10-01 00:07:00
1993364,0.426,0.066,242.91,1.8,0.0,0.0,0.0,2010-10-01 00:08:00
1993365,0.48,0.094,242.64,2.2,0.0,0.0,1.0,2010-10-01 00:09:00
1993366,1.028,0.314,241.55,4.4,0.0,0.0,11.0,2010-10-01 00:10:00
1993367,1.046,0.316,241.79,4.4,0.0,0.0,11.0,2010-10-01 00:11:00
1993368,1.08,0.318,242.13,4.6,0.0,0.0,12.0,2010-10-01 00:12:00
1993369,1.09,0.32,242.3,4.6,0.0,0.0,12.0,2010-10-01 00:13:00
1993370,1.092,0.314,241.8,4.6,0.0,0.0,12.0,2010-10-01 00:14:00
1993371,0.63,0.146,242.45,3.0,0.0,0.0,5.0,2010-10-01 00:15:00
1993372,0.414,0.066,242.25,1.8,0.0,0.0,1.0,2010-10-01 00:16:00
1993373,0.414,0.068,242.71,1.8,0.0,0.0,0.0,2010-10-01 00:17:00
1993374,0.412,0.066,242.38,1.8,0.0,0.0,1.0,2010-10-01 00:18:00
1993375,0.344,0.0,243.11,1.4,0.0,0.0,0.0,2010-10-01 00:19:00
1993376,0.32,0.066,243.4,1.4,0.0,0.0,1.0,2010-10-01 00:20:00
1993377,0.32,0.066,243.28,1.4,0.0,0.0,1.0,2010-10-01 00:21:00
1993378,0.32,0.066,242.64,1.4,0.0,0.0,0.0,2010-10-01 00:22:00
1993379,0.318,0.066,242.36,1.4,0.0,0.0,1.0,2010-10-01 00:23:00
1993380,0.316,0.068,241.66,1.4,0.0,0.0,1.0,2010-10-01 00:24:00
1993381,0.314,0.068,241.2,1.4,0.0,0.0,0.0,2010-10-01 00:25:00
1993382,0.304,0.066,241.47,1.2,0.0,0.0,1.0,2010-10-01 00:26:00
1993383,0.298,0.064,241.86,1.2,0.0,0.0,1.0,2010-10-01 00:27:00
1993384,0.298,0.064,241.6,1.2,0.0,0.0,0.0,2010-10-01 00:28:00
1993385,0.296,0.064,241.22,1.2,0.0,0.0,1.0,2010-10-01 00:29:00
1993386,0.298,0.064,241.73,1.2,0.0,0.0,1.0,2010-10-01 00:30:00
1993387,0.362,0.0,241.31,1.6,0.0,0.0,0.0,2010-10-01 00:31:00
1993388,0.378,0.056,241.26,1.6,0.0,1.0,1.0,2010-10-01 00:32:00
1993389,0.378,0.056,241.29,1.6,0.0,2.0,1.0,2010-10-01 00:33:00
1993390,0.378,0.056,241.26,1.6,0.0,1.0,0.0,2010-10-01 00:34:00
1993391,0.432,0.108,240.87,2.0,0.0,1.0,1.0,2010-10-01 00:35:00
1993392,0.562,0.278,240.56,2.6,0.0,2.0,0.0,2010-10-01 00:36:00
1993393,0.56,0.29,240.56,2.6,0.0,1.0,1.0,2010-10-01 00:37:00
1993394,0.558,0.292,240.88,2.6,0.0,1.0,1.0,2010-10-01 00:38:00
1993395,0.556,0.294,241.23,2.6,0.0,2.0,0.0,2010-10-01 00:39:00
1993396,0.554,0.294,241.57,2.6,0.0,1.0,1.0,2010-10-01 00:40:00
1993397,0.552,0.296,241.84,2.6,0.0,2.0,1.0,2010-10-01 00:41:00
1993398,0.548,0.294,241.22,2.6,0.0,1.0,0.0,2010-10-01 00:42:00
1993399,0.53,0.27,240.89,2.4,0.0,1.0,1.0,2010-10-01 00:43:00
1993400,0.474,0.186,240.41,2.0,0.0,2.0,1.0,2010-10-01 00:44:00
1993401,0.476,0.188,240.93,2.0,0.0,1.0,0.0,2010-10-01 00:45:00
1993402,0.474,0.188,241.01,2.0,0.0,1.0,1.0,2010-10-01 00:46:00
1993403,0.472,0.188,241.06,2.0,0.0,2.0,1.0,2010-10-01 00:47:00
1993404,0.462,0.176,240.77,2.0,0.0,1.0,0.0,2010-10-01 00:48:00
1993405,0.376,0.054,240.93,1.6,0.0,2.0,1.0,2010-10-01 00:49:00
1993406,0.376,0.056,241.22,1.6,0.0,1.0,1.0,2010-10-01 00:50:00
1993407,0.376,0.056,241.37,1.6,0.0,1.0,0.0,2010-10-01 00:51:00
1993408,0.374,0.056,241.6,1.6,0.0,1.0,1.0,2010-10-01 00:52:00
1993409,0.374,0.056,241.63,1.6,0.0,2.0,0.0,2010-10-01 00:53:00
1993410,0.374,0.056,241.61,1.6,0.0,1.0,1.0,2010-10-01 00:54:00
1993411,0.372,0.056,241.34,1.6,0.0,1.0,1.0,2010-10-01 00:55:00
1993412,0.372,0.054,241.13,1.6,0.0,1.0,0.0,2010-10-01 00:56:00
1993413,0.372,0.056,241.35,1.6,0.0,2.0,1.0,2010-10-01 00:57:00
1993414,0.37,0.056,241.23,1.6,0.0,1.0,1.0,2010-10-01 00:58:00
1993415,0.372,0.056,241.53,1.6,0.0,1.0,0.0,2010-10-01 00:59:00
1993416,0.37,0.056,241.75,1.6,0.0,1.0,1.0,2010-10-01 01:00:00
1993417,0.368,0.054,240.81,1.6,0.0,2.0,1.0,2010-10-01 01:01:00
1993418,0.368,0.052,240.68,1.6,0.0,1.0,0.0,2010-10-01 01:02:00
1993419,0.368,0.054,240.81,1.6,0.0,1.0,1.0,2010-10-01 01:03:00
1993420,0.368,0.054,240.74,1.4,0.0,1.0,1.0,2010-10-01 01:04:00
1993421,0.41,0.09,240.69,1.8,0.0,1.0,0.0,2010-10-01 01:05:00
1993422,0.476,0.186,240.76,2.0,0.0,2.0,1.0,2010-10-01 01:06:00
1993423,0.472,0.184,240.61,2.0,0.0,1.0,0.0,2010-10-01 01:07:00
1993424,0.468,0.184,240.18,2.0,0.0,1.0,1.0,2010-10-01 01:08:00
1993425,0.464,0.182,240.11,2.0,0.0,1.0,1.0,2010-10-01 01:09:00
1993426,0.462,0.182,240.03,2.0,0.0,1.0,0.0,2010-10-01 01:10:00
1993427,0.462,0.184,240.24,2.0,0.0,1.0,1.0,2010-10-01 01:11:00
1993428,0.548,0.28,240.09,2.6,0.0,2.0,1.0,2010-10-01 01:12:00
1993429,0.534,0.284,239.78,2.4,0.0,1.0,0.0,2010-10-01 01:13:00
1993430,0.534,0.28,239.04,2.4,0.0,1.0,1.0,2010-10-01 01:14:00
1993431,0.532,0.28,238.97,2.4,0.0,1.0,1.0,2010-10-01 01:15:00
1993432,0.532,0.284,239.81,2.4,0.0,1.0,0.0,2010-10-01 01:16:00
1993433,0.534,0.29,240.78,2.4,0.0,1.0,1.0,2010-10-01 01:17:00
1993434,0.472,0.206,241.03,2.2,0.0,2.0,0.0,2010-10-01 01:18:00
1993435,0.438,0.158,240.89,1.8,0.0,1.0,1.0,2010-10-01 01:19:00
